post_id,title,category,score,num_comments,author,collected_at,engagement,is_popular
47655408,Show HN: I built a tiny LLM to demystify how language models work,technology,592,74,armanified,2026-04-06 12:40:28,0.12478920741989882,True
47658146,France pulls last gold held in US for $15B gain,technology,242,144,teleforce,2026-04-06 12:40:29,0.5925925925925926,True
47659461,The Intelligence Failure in Iran,technology,28,12,JumpCrisscross,2026-04-06 12:40:31,0.41379310344827586,False
47652007,"Show HN: Real-time AI (audio/video in, voice out) on an M3 Pro with Gemma E2B",technology,131,10,karimf,2026-04-06 12:40:32,0.07575757575757576,False
47656981,"Drop, formerly Massdrop, ends most collaborations and rebrands under Corsair",technology,52,14,stevebmark,2026-04-06 12:40:35,0.2641509433962264,False
47651540,Running Gemma 4 locally with LM Studio's new headless CLI and Claude Code,technology,304,75,vbtechguy,2026-04-06 12:40:37,0.2459016393442623,True
47655367,"Show HN: Gemma Gem – AI model embedded in a browser – no API keys, no cloud",technology,99,16,ikessler,2026-04-06 12:40:38,0.16,False
47656335,Does coding with LLMs mean more microservices?,technology,42,33,jer0me,2026-04-06 12:40:39,0.7674418604651163,False
47659807,Ask HN: How do systems (or people) detect when a text is written by an LLM,technology,5,1,elC0mpa,2026-04-06 12:40:41,0.16666666666666666,False
47652322,Music for Programming,technology,229,103,merusame,2026-04-06 12:40:42,0.44782608695652176,True
47655466,Employers use your personal data to figure out the lowest salary you'll accept,technology,277,148,thisislife2,2026-04-06 12:40:44,0.5323741007194245,True
47650312,A tail-call interpreter in (nightly) Rust,technology,173,42,g0xA52A2A,2026-04-06 12:40:45,0.2413793103448276,False
47648828,"Eight years of wanting, three months of building with AI",technology,823,255,brilee,2026-04-06 12:40:45,0.3094660194174757,True
47656659,Media scraper Gallery-dl is moving to Codeberg after receiving a DMCA notice,technology,168,50,MoltenMonster,2026-04-06 12:40:48,0.2958579881656805,False
47649742,Nanocode: The best Claude Code that $200 can buy in pure JAX on TPUs,technology,192,26,desideratum,2026-04-06 12:40:48,0.13471502590673576,True
47658388,NIMBY Rails,technology,21,3,altilunium,2026-04-06 12:40:53,0.13636363636363635,False
47640728,Show HN: A game where you build a GPU,technology,921,178,Jaso1024,2026-04-06 12:40:55,0.19305856832971802,True
47655058,OpenAI's fall from grace as investors race to Anthropic,technology,174,111,1vuio0pswjnm7,2026-04-06 12:40:59,0.6342857142857142,False
47652549,Iran's IRGC Publishes Satellite Imagery of OpenAI's $30B Stargate Datacenter,technology,53,18,alvivanco,2026-04-06 12:41:00,0.3333333333333333,False
47651479,From birds to brains: My path to the fusiform face area (2024),technology,36,0,everbody,2026-04-06 12:41:02,0.0,False
47640380,Apple approves driver that lets Nvidia eGPUs work with Arm Macs,technology,507,231,naves,2026-04-06 12:41:02,0.4547244094488189,True
47658215,The end of password pain: building frictionless authentication at the Guardian,technology,6,2,Tomte,2026-04-06 12:41:07,0.2857142857142857,False
47633396,Tell HN: Anthropic no longer allowing Claude Code subscriptions to use OpenClaw,technology,1079,818,firloop,2026-04-06 12:41:08,0.7574074074074074,True
47637757,Embarrassingly simple self-distillation improves code generation,technology,643,197,Anon84,2026-04-06 12:41:10,0.3059006211180124,True
47657198,Scientists found a protein that drives brain aging – and how to stop it,technology,16,5,mikhael,2026-04-06 12:41:12,0.29411764705882354,False
47647788,The threat is comfortable drift toward not understanding what you're doing,worldnews,887,585,zaikunzhang,2026-04-06 12:41:41,0.6587837837837838,True
47636765,Endian wars and anti-portability: this again?,worldnews,44,52,awilfox,2026-04-06 12:42:06,1.1555555555555554,False
47656682,Winners of the 2026 Kokuyo Design Awards,worldnews,50,15,zdw,2026-04-06 12:42:23,0.29411764705882354,False
47653036,Satellite firm Planet Labs to indefinitely withold Iran war imagery,worldnews,38,12,anigbrowl,2026-04-06 12:42:26,0.3076923076923077,False
47645817,How Pope Leo is pushing back on divine justification of war,worldnews,73,40,1659447091,2026-04-06 12:43:05,0.5405405405405406,False
47596739,Mercor says it was hit by cyberattack tied to compromise LiteLLM,worldnews,151,45,jackson-mcd,2026-04-06 12:43:05,0.29605263157894735,False
47615002,Qwen3.6-Plus: Towards real world agents,worldnews,589,207,pretext,2026-04-06 12:43:08,0.35084745762711866,True
47650273,"Meta, Google under attack as court cases bypass 30-year-old legal shield",worldnews,17,9,1vuio0pswjnm7,2026-04-06 12:43:33,0.5,False
47627419,The Axios supply chain attack used individually targeted social engineering,worldnews,47,11,cmitsakis,2026-04-06 12:43:40,0.22916666666666666,False
47625311,Bun: cgroup-aware AvailableParallelism / HardwareConcurrency on Linux,worldnews,45,24,tosh,2026-04-06 12:43:53,0.5217391304347826,False
47615756,Renewables reached nearly 50% of global electricity capacity last year,worldnews,296,148,Growtika,2026-04-06 12:43:56,0.4983164983164983,True
47651140,Ask HN: Where are all the disruptive software that AI promised?,worldnews,16,13,p-o,2026-04-06 12:44:02,0.7647058823529411,False
47644934,"Delve claiming that whistleblower was part of a ""targeted cyberattack""",worldnews,6,2,rrvsh,2026-04-06 12:44:08,0.2857142857142857,False
47653816,UK intelligence censored report on global warming and homeland security,worldnews,94,53,ewidar,2026-04-06 12:44:13,0.5578947368421052,False
47624317,New Rowhammer attacks give complete control of machines running Nvidia GPUs,worldnews,132,10,01-_-,2026-04-06 12:44:35,0.07518796992481203,False
47617217,Show HN: I tested 15 free AI models at building real software on a $25/year VPS,worldnews,36,7,j0rg3,2026-04-06 12:44:43,0.1891891891891892,False
47648102,Every dependency you add is a supply chain attack waiting to happen,worldnews,8,0,birdculture,2026-04-06 12:44:48,0.0,False
47657396,US-Iran war explained by Chinese AI animation: Legend of the Valley of Gold [video],worldnews,5,0,Eridanus2,2026-04-06 12:44:54,0.0,False
